iter	Passed	Remaining
455	978	1167
456	979	1164
457	980	1160
458	982	1157
459	983	1154
460	986	1153
461	988	1151
462	990	1148
463	991	1145
464	993	1142
465	994	1139
466	995	1136
467	996	1133
468	998	1130
469	1002	1130
470	1004	1128
471	1007	1126
472	1009	1124
473	1010	1121
474	1011	1118
475	1012	1115
476	1015	1113
477	1017	1111
478	1018	1108
479	1020	1106
480	1022	1103
481	1023	1100
482	1024	1096
483	1026	1093
484	1027	1090
485	1029	1088
486	1032	1087
487	1034	1085
488	1036	1082
489	1037	1079
490	1038	1076
491	1040	1073
492	1041	1071
493	1042	1068
494	1045	1066
495	1047	1063
496	1048	1061
497	1050	1058
498	1051	1055
499	1052	1052
500	1053	1049
501	1055	1047
502	1056	1044
503	1058	1041
504	1060	1039
505	1061	1036
506	1063	1033
507	1064	1031
508	1065	1028
509	1067	1025
510	1068	1022
511	1069	1019
512	1070	1016
513	1072	1013
514	1075	1012
515	1077	1010
516	1078	1007
517	1079	1004
518	1081	1001
519	1082	999
520	1083	996
521	1085	993
522	1086	990
523	1088	989
524	1090	986
525	1091	984
526	1093	981
527	1094	978
528	1095	975
529	1097	972
530	1098	970
531	1099	967
532	1100	964
533	1103	963
534	1105	960
535	1106	958
536	1108	955
537	1109	952
538	1110	949
539	1111	947
540	1113	944
541	1114	941
542	1115	938
543	1119	938
544	1121	935
545	1122	933
546	1123	930
547	1124	927
548	1126	925
549	1127	922
550	1128	919
551	1130	917
552	1133	915
553	1135	913
554	1136	911
555	1138	909
556	1140	907
557	1142	905
558	1143	902
559	1145	899
560	1147	898
561	1149	895
562	1150	893
563	1152	890
564	1153	887
565	1154	885
566	1156	882
567	1157	880
568	1158	877
569	1159	874
570	1162	873
571	1164	871
572	1165	868
573	1167	866
574	1168	863
575	1169	861
576	1171	858
577	1172	855
578	1173	853
579	1174	850
580	1177	849
581	1179	847
582	1180	844
583	1182	842
584	1183	839
585	1184	836
586	1185	834
587	1187	831
588	1188	829
589	1189	826
590	1193	825
591	1194	823
592	1195	820
593	1197	818
594	1198	815
595	1200	813
596	1201	811
597	1202	808
598	1203	806
599	1206	804
600	1208	802
601	1209	799
602	1210	797
603	1212	794
604	1213	792
605	1214	789
606	1215	787
607	1217	784
608	1218	782
609	1221	780
610	1222	778
611	1224	776
612	1226	774
613	1227	771
614	1229	769
615	1230	766
616	1231	764
617	1232	762
618	1234	759
619	1236	757
620	1238	755
621	1239	753
622	1240	750
623	1242	748
624	1243	746
625	1244	743
626	1245	741
627	1247	738
628	1249	736
629	1251	734
630	1253	732
631	1254	730
632	1255	728
633	1257	725
634	1258	723
635	1259	720
636	1260	718
637	1262	716
638	1264	714
639	1266	712
640	1268	710
641	1270	708
642	1272	706
643	1273	704
644	1275	701
645	1276	699
646	1277	697
647	1280	695
648	1281	693
649	1283	690
650	1284	688
651	1285	686
652	1286	683
653	1288	681
654	1289	679
655	1290	676
656	1292	674
657	1295	673
658	1297	671
659	1298	668
660	1299	666
661	1300	664
662	1302	661
663	1303	659
664	1304	657
665	1306	655
666	1307	653
667	1310	651
668	1311	649
669	1313	646
670	1314	644
671	1316	642
672	1317	640
673	1318	637
674	1320	635
675	1321	633
676	1324	631
677	1325	629
678	1326	627
679	1328	625
680	1329	622
681	1331	620
682	1333	618
683	1334	616
684	1336	614
685	1339	613
686	1341	611
687	1342	608
688	1344	606
689	1345	604
690	1346	602
691	1348	600
692	1349	597
693	1350	595
694	1353	594
695	1355	592
696	1356	589
697	1357	587
698	1359	585
699	1360	583
700	1361	580
701	1363	578
702	1364	576
703	1365	574
704	1368	572
705	1369	570
706	1371	568
707	1372	566
708	1373	563
709	1375	561
710	1376	559
711	1377	557
712	1378	554
713	1380	552
714	1383	551
715	1384	549
716	1386	547
717	1387	544
718	1388	542
719	1390	540
720	1391	538
721	1392	536
722	1393	534
723	1395	531
724	1399	530
725	1402	529
726	1403	527
727	1405	525
728	1406	522
729	1408	520
730	1409	518
731	1412	517
732	1413	514
733	1415	512
734	1416	510
735	1418	508
736	1419	506
737	1420	504
738	1421	502
739	1423	500
740	1424	497
741	1427	496
742	1428	494
743	1430	492
744	1432	490
745	1434	488
746	1435	486
747	1437	484
748	1439	482
749	1443	481
750	1444	479
751	1446	476
752	1447	474
753	1448	472
754	1450	470
755	1451	468
756	1453	466
757	1454	464
758	1456	462
759	1458	460
760	1460	458
761	1461	456
762	1462	454
763	1463	452
764	1465	450
765	1466	447
766	1467	445
767	1469	443
768	1472	442
769	1473	440
770	1474	438
771	1476	435
772	1477	433
773	1478	431
774	1480	429
775	1481	427
776	1482	425
777	1483	423
778	1487	421
779	1488	419
780	1490	417
781	1491	415
782	1492	413
783	1494	411
784	1495	409
785	1496	407
786	1498	405
787	1501	403
788	1502	401
789	1504	399
790	1505	397
791	1507	395
792	1508	393
793	1509	391
794	1511	389
795	1512	387
796	1515	385
797	1516	384
798	1518	381
799	1519	379
800	1521	377
801	1522	375
802	1523	373
803	1524	371
804	1526	369
805	1527	367
806	1531	366
807	1532	364
808	1534	362
809	1536	360
810	1538	358
811	1539	356
812	1541	354
813	1542	352
814	1545	350
815	1546	348
816	1548	346
817	1549	344
818	1551	342
819	1552	340
820	1553	338
821	1554	336
822	1556	334
823	1559	333
824	1561	331
825	1562	329
826	1564	327
827	1565	325
828	1566	323
829	1568	321
830	1569	319
831	1570	317
832	1572	315
833	1575	313
834	1576	311
835	1578	309
836	1579	307
837	1581	305
838	1582	303
839	1583	301
840	1585	299
841	1586	297
842	1589	295
843	1590	293
844	1592	292
845	1593	290
846	1594	288
847	1596	286
848	1597	284
849	1598	282
850	1600	280
851	1601	278
852	1604	276
853	1605	274
854	1607	272
855	1608	270
856	1609	268
857	1610	266
858	1612	264
859	1613	262
860	1614	260
861	1616	258
862	1618	256
863	1620	255
864	1621	253
865	1622	251
866	1624	249
867	1625	247
868	1626	245
869	1628	243
870	1629	241
871	1632	239
872	1634	237
873	1635	235
874	1636	233
875	1637	231
876	1639	229
877	1640	227
878	1641	226
879	1643	224
880	1644	222
881	1647	220
882	1648	218
883	1650	216
884	1651	214
885	1652	212
886	1654	210
887	1655	208
888	1656	206
889	1658	204
890	1659	203
891	1663	201
892	1665	199
893	1667	197
894	1669	195
895	1670	193
896	1671	191
897	1672	190
898	1674	188
899	1677	186
900	1678	184
901	1680	182
902	1681	180
903	1683	178
904	1684	176
905	1685	174
906	1686	172
907	1688	171
908	1689	169
909	1692	167
910	1693	165
911	1695	163
912	1696	161
913	1697	159
914	1699	157
915	1700	155
916	1701	154
917	1703	152
918	1704	150
919	1706	148
920	1708	146
921	1710	144
922	1711	142
923	1712	140
924	1714	138
925	1715	137
926	1716	135
927	1718	133
928	1720	131
929	1722	129
930	1723	127
931	1725	125
932	1726	123
933	1727	122
934	1728	120
935	1730	118
936	1731	116
937	1733	114
938	1735	112
939	1737	110
940	1738	109
941	1739	107
942	1741	105
943	1742	103
944	1743	101
945	1744	99
946	1746	97
947	1748	95
948	1751	94
949	1752	92
950	1753	90
951	1755	88
952	1756	86
953	1757	84
954	1759	82
955	1760	81
956	1765	79
957	1767	77
958	1769	75
959	1770	73
960	1772	71
961	1773	70
962	1775	68
963	1776	66
964	1779	64
965	1781	62
966	1782	60
967	1784	58
968	1786	57
969	1787	55
970	1789	53
971	1791	51
972	1795	49
973	1797	47
974	1800	46
975	1803	44
976	1804	42
977	1806	40
978	1809	38
979	1811	36
980	1812	35
981	1813	33
982	1815	31
983	1816	29
984	1818	27
985	1819	25
986	1821	23
987	1825	22
988	1826	20
989	1828	18
990	1829	16
991	1831	14
992	1832	12
993	1833	11
994	1835	9
995	1839	7
996	1841	5
997	1842	3
998	1843	1
999	1845	0
